,area_type,availability,location,size,society,total_sqft,bath,balcony,price
5059,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,16
5060,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Itelaa ,1730,3,3,110
5061,Plot  Area,Ready To Move,Mahalakshmi Puram,4 Bedroom,Itelaa ,750,4,0,85
5062,Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1804,3,1,115
5063,Super built-up  Area,19-May,Thanisandra,3 BHK,G conTh,1795,3,2,140
5064,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Srayai ,1050,2,1,50
5065,Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Prndsde,2100,3,3,120
5066,Built-up  Area,Ready To Move,Rayasandra,3 BHK,Prndsde,1199,2,1,48.5
5067,Plot  Area,Ready To Move,SBM Colony,3 Bedroom,Prndsde,1350,2,2,280
5068,Super built-up  Area,Ready To Move,Vignana Nagar,2 BHK,Prndsde,1100,2,2,47
5069,Plot  Area,Ready To Move,Udaya Nagar,2 Bedroom,Prndsde,1000,1,1,75
5070,Super built-up  Area,22-Mar,Kanakapura,3 BHK,Prndsde,1254,2,2,70
5071,Plot  Area,18-Apr,Medahalli,8 Bedroom,Prndsde,600,8,1,70
5072,Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Solle V,940,2,2,49
5073,Built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,MaeamSu,1280,2,2,80
5074,Super built-up  Area,Ready To Move,Whitefield,4 BHK,Sulesil,2155,3,3,125
5075,Built-up  Area,Ready To Move,Sarjapur  Road,5 Bedroom,Reyle L,3200,5,3,140
5076,Super built-up  Area,18-Oct,Kasavanhalli,4 BHK,Reyle L,4260,4,3,272
5077,Super built-up  Area,20-Aug,Hebbal,3 BHK,Magiaya,1255,2,1,95
5078,Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1388,3,3,69.99
5079,Built-up  Area,17-Jun, Whitefield,1 RK,Prtates,905,1,1,52
5080,Super built-up  Area,Ready To Move,VGP Layout,2 BHK,Vaurtar,1176,2,2,44
5081,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Hemai D,1390,2,2,61.16
5082,Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,Hemai D,2400,4,2,400
5083,Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Hemai D,1160,2,1,55
5084,Super built-up  Area,Ready To Move,Seegehalli,4 BHK,Hemai D,2800,4,3,140
5085,Plot  Area,Ready To Move,5th Block Hbr Layout,4 Bedroom,Hemai D,1200,4,2,205
5086,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1583,3,3,115
5087,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3,1,63
5088,Built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,TealdEm,1170,2,2,86
5089,Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,TealdEm,1350,2,1,51
5090,Super built-up  Area,Ready To Move,Gottigere,2 BHK,HivanBr,1075,2,2,30
5091,Built-up  Area,Ready To Move,Hosa Road,2 BHK,HivanBr,972,2,2,40
5092,Super built-up  Area,19-Jan,Bannerghatta Road,3 BHK,Hiatei ,1486,3,1,83.22
5093,Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,Hiatei ,555,1,0,37
5094,Plot  Area,Ready To Move,Vaishnavi Layout,4 Bedroom,Prsisge,4830,5,1,390
5095,Built-up  Area,Ready To Move,Cottonpet,2 BHK,Prsisge,850,2,1,75
5096,Super built-up  Area,20-Dec,Binny Pete,3 BHK,Shestlo,1282,3,2,178
5097,Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790,4,3,198
5098,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Puallhi,2383,5,1,215
5099,Carpet  Area,Ready To Move,Naganathapura,2 BHK,Malmsri,1103,2,1,55
5100,Super built-up  Area,Ready To Move,Rayasandra,3 BHK,MJeusyl,1577,3,2,67
5101,Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1465,3,2,80.01
5102,Built-up  Area,Ready To Move,Vimanapura,3 BHK,Inion P,1600,3,1,64
5103,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,TGeepga,1090,2,2,45
5104,Super built-up  Area,19-Dec,Yelahanka,3 BHK,Goues A,1721,3,3,80.86
5105,Built-up  Area,Ready To Move,Seetharampalya,2 BHK,Goues A,1100,2,1,55
5106,Super built-up  Area,Ready To Move,Varthur,3 BHK,Vaensia,1450,3,2,71
5107,Super built-up  Area,Ready To Move,Battarahalli,2 BHK,SraveHi,1071,2,1,62
5108,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2266,3,2,169
5109,Super built-up  Area,Ready To Move,Kundalahalli Colony,3 BHK,Goourta,2065,3,2,130
5110,Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1800,3,2,90
5111,Built-up  Area,Ready To Move,Defence Colony,2 BHK,PuandHi,1150,2,2,125
5112,Plot  Area,Ready To Move,Housing Board Layout Vijay Nagar,8 Bedroom,PuandHi,1200,8,2,220
5113,Super built-up  Area,Ready To Move,Hormavu,2 BHK,ARureig,1123,2,1,56
5114,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1884,3,3,98
5115,Plot  Area,Ready To Move,1st Block Jayanagar,7 Bedroom,DLhtsnd,930,4,2,85
5116,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1145,2,1,75
5117,Super built-up  Area,18-Apr,Hebbal,3 BHK,Arcia S,1328,2,2,60
5118,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,950,2,1,55
5119,Super built-up  Area,Ready To Move,Thomas Town,2 BHK,TuiteIn,1250,2,1,59
5120,Built-up  Area,Ready To Move,Pragathi Nagar,2 BHK,DStra S,1115,2,0,46
5121,Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,Mauner ,1318,3,1,54
5122,Built-up  Area,Ready To Move,JP Nagar,3 BHK,Mauner ,3300,4,3,160
5123,Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Mauner ,1280,2,1,48
5124,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Mauner ,1230,2,2,59
5125,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Mauner ,1420,2,2,60
5126,Built-up  Area,Ready To Move,Kasavanhalli,3 Bedroom,Mauner ,2111,4,3,120
5127,Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,Mauner ,1100,2,1,54
5128,Super built-up  Area,Ready To Move,Harlur,3 BHK,Mauner ,1750,3,2,136
5129,Built-up  Area,Ready To Move,RMV 2nd Stage,3 BHK,Mauner ,2550,4,2,290
5130,Super built-up  Area,Ready To Move,Shampura,2 BHK,Mauner ,700,1,2,35
5131,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Mauner ,1050,2,1,42
5132,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Ihnueut,1235,2,3,90
5133,Plot  Area,Ready To Move,Yeshwanthpur,2 Bedroom,Pantym ,1200,2,0,63
5134,Super built-up  Area,Ready To Move,Kengeri,2 BHK,Pantym ,900,2,0,30
5135,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1146,2,1,38
5136,Plot  Area,Ready To Move,Yeshwanthpur,4 Bedroom,SLaceda,1200,4,1,110
5137,Super built-up  Area,Ready To Move,Banashankari,1 BHK,SLaceda,2400,1,1,200
5138,Plot  Area,Ready To Move,Marathahalli,6 Bedroom,SLaceda,1200,5,2,108
5139,Built-up  Area,Ready To Move,Devarachikkanahalli,1 BHK,SLaceda,615,1,1,24
5140,Super built-up  Area,19-Apr,Mysore Road,2 BHK,Brama P,1070,2,1,49.65
5141,Plot  Area,Ready To Move,Rajaji Nagar,5 Bedroom,Brama P,1538,5,2,300
5142,Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,Brama P,1355,2,3,58.25
5143,Built-up  Area,Ready To Move,Venkatapura,4 BHK,ThBayah,3080,2,1,285
5144,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,ThBayah,1800,3,3,80
5145,Built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1400,2,3,50.06
5146,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Aklia R,1123,2,1,48
5147,Plot  Area,Ready To Move,Konanakunte,4 Bedroom,Aklia R,1200,2,1,130
5148,Built-up  Area,Ready To Move,Kengeri,2 BHK,UKanema,787,2,1,31
5149,Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1082,2,1,45
5150,Super built-up  Area,Ready To Move,Seegehalli,2 BHK,Prrtht ,1096,2,1,41
5151,Plot  Area,Ready To Move,Vidyaranyapura,7 Bedroom,Prrtht ,1200,7,2,140
5152,Plot  Area,Ready To Move,R.T. Nagar,3 Bedroom,Prrtht ,1140,3,1,130
5153,Carpet  Area,Ready To Move,Venugopal Reddy Layout,2 BHK,Niiman ,1130,2,1,52
5154,Built-up  Area,Ready To Move,Electronic City,1 BHK,Niiman ,550,1,1,12
5155,Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Niiman ,1058,2,2,85
5156,Built-up  Area,Ready To Move,Hebbal,3 BHK,Cevely ,1269,2,1,73
5157,Plot  Area,Ready To Move,Prithvi Layout,3 Bedroom,Cevely ,946,3,1,140
5158,Super built-up  Area,Ready To Move,4th Block Koramangala,4 BHK,Cevely ,3400,6,1,420
5159,Super built-up  Area,19-Jan,Kanakpura Road,4 BHK,PrityFa,2689,6,2,245
5160,Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1976,3,3,65.21
5161,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Gilleon,1820,3,3,77
5162,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1329,2,1,56
5163,Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Aklia R,1350,2,1,80.99
5164,Plot  Area,Ready To Move,Nagarbhavi,4 Bedroom,Aklia R,1250,3,0,175
5165,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1205,2,1,40
5166,Plot  Area,Ready To Move,Manganahalli,6 Bedroom,SSthamh,800,6,2,98
5167,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2,2,71.5
5168,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,PuandHi,938,2,0,35
5169,Super built-up  Area,Ready To Move,Kuvempu Nagar,1 BHK,PuandHi,450,1,1,25
5170,Built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Komesa ,1100,2,2,70
5171,Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,Komesa ,600,3,1,95
5172,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Komesa ,1060,2,1,40
5173,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Komesa ,1125,2,2,40
5174,Built-up  Area,Ready To Move,Whitefield,1 BHK,SatraNa,810,1,0,21
5175,Super built-up  Area,Ready To Move,Bellandur,2 BHK,SatraNa,1060,2,1,65
5176,Plot  Area,Ready To Move,Anandapura,4 Bedroom,SatraNa,1749,4,0,90
5177,Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,SatraNa,1200,2,2,75
5178,Super built-up  Area,Ready To Move,Cleveland Town,2 BHK,Lehidrc,1100,2,1,85
5179,Super built-up  Area,18-May,Rachenahalli,1 BHK,AsNowre,660 - 700,1,0,32.64
5180,Plot  Area,Ready To Move,Jalahalli East,4 Bedroom,AsNowre,720,4,2,48
5181,Plot  Area,Ready To Move,Gunjur,5 Bedroom,Chranya,6613,7,1,950
5182,Super built-up  Area,Ready To Move,Hoodi,3 BHK,Goeur G,1925,3,3,110
5183,Built-up  Area,Ready To Move,Kengeri,1 BHK,Goeur G,502,1,1,25
5184,Built-up  Area,Ready To Move,Bommenahalli,3 Bedroom,Prood G,3339,3,0,250
5185,Built-up  Area,Ready To Move,Begur,3 BHK,Arhtsth,1475,2,2,74
5186,Super built-up  Area,18-Aug,Indra Nagar,3 BHK,Arhtsth,1550,3,2,258
5187,Super built-up  Area,18-Apr,Peenya,2 BHK,Arhtsth,966,2,1,49
5188,Plot  Area,Ready To Move,t.c palya,6 Bedroom,Arhtsth,1350,6,3,160
5189,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2,2,75
5190,Plot  Area,Ready To Move,Bagalur Main Road,5 Bedroom,NDionas,4400,4,1,350
5191,Super built-up  Area,21-May,Kogilu,3 BHK,Sourtal,1559,3,2,120
5192,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Sourtal,1246,2,1,63
5193,Plot  Area,Ready To Move,Rajaji Nagar,3 Bedroom,Sourtal,2790,3,0,950
5194,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2,3,53.58
5195,Plot  Area,Ready To Move,Varthur Road,4 Bedroom,Dhalsh ,1300,3,0,75
5196,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2,2,58
5197,Plot  Area,Ready To Move,Ilyas Nagar,4 Bedroom,PuandHi,900,4,1,75
5198,Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1104,2,1,35.5
5199,Built-up  Area,Ready To Move,Sultan Palaya,2 BHK,Unm 2El,900,2,2,45
5200,Built-up  Area,Ready To Move,3rd Phase JP Nagar,3 BHK,Shestth,1550,2,2,79
5201,Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,GolusLi,670,1,1,35
5202,Super built-up  Area,19-Dec,Jakkur,2 BHK,Ceezey ,1483,2,1,98
5203,Super built-up  Area,Ready To Move,Basapura,3 BHK,Saavenc,1540,2,2,70
5204,Plot  Area,Ready To Move,Naganathapura,8 Bedroom,Saavenc,1200,7,3,100
5205,Super built-up  Area,Ready To Move,Hennur,2 BHK,Saavenc,1255,2,1,54.5
5206,Plot  Area,Ready To Move,OMBR Layout,3 Bedroom,Saavenc,600,3,2,100
5207,Super built-up  Area,Ready To Move,Jayanagar,2 BHK,Saavenc,1036,2,2,110
5208,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460,2,2,75
5209,Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,Wiaysld,1230,2,1,58
5210,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1340,2,2,60
5211,Built-up  Area,Ready To Move,Yelenahalli,3 BHK,PuandHi,1600,3,3,61.37
5212,Built-up  Area,18-Apr,Hegde Nagar,3 BHK,SoisoCa,2162,3,1,200
5213,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,919,2,2,40
5214,Super built-up  Area,18-Aug,4th Phase JP Nagar,2 BHK,Itvir M,1070,2,2,38.9
5215,Super built-up  Area,Ready To Move,Hosur Road,3 BHK,UmrldDr,1733,2,3,85
5216,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221,3,3,72
5217,Super built-up  Area,Ready To Move,kanakapura main road,2 BHK,DLhtsan,1041,2,1,36.44
5218,Built-up  Area,Ready To Move,Ambalipura,4 BHK,SJodsed,2550,4,2,149
5219,Built-up  Area,Ready To Move,Shampura,3 BHK,SJodsed,1400,3,1,70
5220,Plot  Area,Ready To Move,Anjanapura,1 Bedroom,SJodsed,600,2,0,55
5221,Built-up  Area,Ready To Move,Nagarbhavi,1 BHK,MaentNa,710,2,2,40
5222,Super built-up  Area,18-Apr,Electronic City,3 BHK,GMown E,1500,2,1,78.25
5223,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6,2,237
5224,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3,3,175
5225,Plot  Area,Ready To Move,Brookefield,5 Bedroom,HiahsLa,2400,5,2,325
5226,Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255,2,1,95
5227,Super built-up  Area,Ready To Move,Malleshwaram,7 BHK,Magiaya,2425,7,3,140
5228,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1031,2,1,55
5229,Super built-up  Area,18-Jul,Balagere,2 BHK,Soresea,1210,2,1,74
5230,Super built-up  Area,Ready To Move,Anjanapura,2 BHK,ACopsva,950,2,1,40
5231,Plot  Area,Ready To Move,Nagaraja Garden,4 Bedroom,ACopsva,1376,4,1,156
5232,Super built-up  Area,18-Dec,Hosa Road,2 BHK,Mahesr ,1161,2,1,55.15
5233,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1303,2,2,44.17
5234,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2,2,105
5235,Plot  Area,Ready To Move,Kengeri Satellite Town,2 Bedroom,Prtanha,1200,2,1,65
5236,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Prtanha,1825,3,1,175
5237,Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Bhhmi L,1015,2,0,48
5238,Carpet  Area,Ready To Move,Mathikere,3 BHK,Bhhmi L,1150,2,0,60
5239,Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010,2,1,40
5240,Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,3 BHK,Sariana,1508,3,1,75
5241,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1275,2,1,87
5242,Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Kaiew L,1460,3,1,70
5243,Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,Kaiew L,946,2,2,58
5244,Super built-up  Area,Ready To Move,Vignana Nagar,2 BHK,Alows M,1110,2,2,58
5245,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1832,3,1,125
5246,Super built-up  Area,18-Apr,Hebbal,2 BHK,Arcia S,1088,2,2,61.45
5247,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3,1,104
5248,Super built-up  Area,18-Jan,Kadugodi,2 BHK,Prclee ,1030,2,1,35.02
5249,Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,Prclee ,660,2,0,27
5250,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Asncywo,1700,3,1,95
5251,Plot  Area,Ready To Move,BTM 1st Stage,4 Bedroom,Asncywo,1100,5,2,121
5252,Super built-up  Area,18-Feb,Panathur,2 BHK,Asncywo,1205,2,2,62.9
5253,Super built-up  Area,Ready To Move,Lottegolla Halli,3 BHK,Asncywo,1950,3,2,90
5254,Super built-up  Area,18-May,Devanahalli Int. Airport,2 BHK,Asncywo,1080,2,1,62
5255,Built-up  Area,Ready To Move,Ardendale,4 BHK,AWharde,2800,4,1,140
5256,Super built-up  Area,19-Jan,Mailasandra,2 BHK,Hanar I,999,2,1,43.66
5257,Plot  Area,Ready To Move,Basvasamithi Layout Vidyaranyapura,4 Bedroom,Hanar I,900,4,3,175
5258,Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1300,2,1,89.76
5259,Super built-up  Area,Ready To Move,HRBR Layout,2 BHK,Srayatr,1265,2,1,78
5260,Built-up  Area,Ready To Move,Attibele,2 BHK,Srayatr,1200,2,2,42
5261,Super built-up  Area,18-Mar,Bhoganhalli,4 BHK,Rosha I,1974,4,0,106
5262,Super built-up  Area,Ready To Move,Chelekare,2 BHK,Goezell,1180,2,2,40
5263,Super built-up  Area,Ready To Move,Amruthahalli,3 BHK,Goezell,1350,2,3,63
5264,Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,DiamiSa,1560,2,2,65
5265,Plot  Area,Ready To Move,8th Block Jayanagar,2 Bedroom,DiamiSa,2800,2,0,650
5266,Super built-up  Area,18-Aug,Hosakerehalli,2 BHK,Maunt M,1085,2,1,41.23
5267,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,J axyGa,1300,2,2,75
5268,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Afncyad,1600,3,2,56
5269,Super built-up  Area,Ready To Move,Atmananda Colony,2 BHK,Afncyad,1127,2,2,55
5270,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,795,2,2,32
5271,Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Malowr ,1850,3,2,88
5272,Built-up  Area,18-Jul,Bommasandra Industrial Area,2 BHK,Malowr ,1020,2,1,29.45
5273,Built-up  Area,Ready To Move,Doopanahalli,3 BHK,KroneMo,1475,2,1,200
5274,Plot  Area,Ready To Move,Baba Nagar,3 Bedroom,KroneMo,1200,3,3,96.25
5275,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2,1,47
5276,Super built-up  Area,19-Nov,Kaikondrahalli,2 BHK,Aklia R,849,2,1,25.4
5277,Super built-up  Area,19-Sep,Kanakpura Road,3 BHK,Soazak ,1706,3,2,135
5278,Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100,4,1,180
5279,Super built-up  Area,Ready To Move,Nagadevanahalli,3 BHK,LedorSa,1250,2,2,65
5280,Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1260,3,3,63.58
5281,Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,JRrnauv,1265,2,1,65
5282,Super built-up  Area,17-Nov,Abbigere,3 BHK,AdhriPa,1260,2,1,45
5283,Super built-up  Area,18-Dec,Jalahalli,2 BHK,Vaniai ,1045,2,1,58
5284,Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,Vaniai ,3895,4,2,495
5285,Super built-up  Area,18-May, Rachenahalli,1 RK,AsNowre,385 - 440,1,0,19.8
5286,Super built-up  Area,17-Jun,Bellandur,2 BHK,AsNowre,1100,2,3,62
5287,Super built-up  Area,19-Sep,Kudlu Gate,2 BHK,Srods P,1113,2,1,50
5288,Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2774,4,3,208
5289,Built-up  Area,Ready To Move,Varthur,2 BHK,Vaensia,1210,2,1,60
5290,Super built-up  Area,Ready To Move,Kogilu,1 BHK,Vaensia,700,1,1,30.84
5291,Super built-up  Area,18-May,Kanakpura Road,2 BHK,NellsKo,1155,2,1,55.5
5292,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1132,2,1,89
5293,Super built-up  Area,18-Jan,Hennur Road,2 BHK,Asadacy,1359,2,2,104
5294,Super built-up  Area,Ready To Move,Byatarayanapura,4 BHK,Reeroce,2631,3,1,200
5295,Super built-up  Area,Ready To Move,Kothanur,2 BHK,Reeroce,1145,2,2,56
5296,Built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,Shenshi,600,1,1,30
5297,Plot  Area,Ready To Move,Laggere,1 Bedroom,Shenshi,1200,1,1,125
5298,Built-up  Area,Ready To Move,Mahalakshmi Puram,2 BHK,Shenshi,830,2,1,60
5299,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Ammesss,1009,2,2,56
5300,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Soarkig,1800,3,2,195
5301,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Niareum,1226,2,2,52.71
5302,Super built-up  Area,Ready To Move,Badrappa Layout,2 BHK,Niareum,1500,2,2,88
5303,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1363,2,1,79
5304,Built-up  Area,Ready To Move,Poorna Pragna Layout,3 Bedroom,Prarkun,1400,2,1,240
5305,Built-up  Area,18-Dec,Bommasandra Industrial Area,2 BHK,Prarkun,1165,2,1,33.64
5306,Built-up  Area,Ready To Move,HSR Layout,4 Bedroom,Rocid P,2792,4,1,220
5307,Built-up  Area,Ready To Move,Kammanahalli,1 Bedroom,Rocid P,700,1,0,59
5308,Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,May 2ge,1060,2,2,42
5309,Built-up  Area,Ready To Move,Marathahalli,2 BHK,Vantsra,1200,2,1,67
5310,Built-up  Area,18-Dec,"Off Sarjapur Road, ",3 BHK,Vantsra,1518,3,2,76
5311,Built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,Ablmsol,1495,2,2,75
5312,Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Ablmsol,1575,2,2,90
5313,Built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Brway G,1440,2,2,170
5314,Super built-up  Area,18-Dec,Kasavanhalli,3 BHK,Goaysn ,1545,3,1,69
5315,Built-up  Area,Ready To Move,Kengeri,3 BHK,Akdorli,1470,3,3,50
5316,Super built-up  Area,Ready To Move,Cooke Town,3 BHK,Akdorli,1500,3,3,95
5317,Built-up  Area,Ready To Move,BTM Layout,3 BHK,Myace P,1450,2,2,81
5318,Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Myace P,1179,2,1,49
5319,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1650,3,2,110
5320,Super built-up  Area,Ready To Move,Chandapura,3 BHK,Arhid O,1095,2,2,32
5321,Built-up  Area,18-Jan,Lal Bahadur Shastri Nagar,2 BHK,Arhid O,856,2,1,48
5322,Super built-up  Area,Ready To Move,Naganathapura,2 BHK,Malmsri,1143,2,1,62
5323,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349,2,1,97.8
5324,Built-up  Area,Ready To Move,Anjanapura,3 BHK,ACopsva,1280,2,2,45
5325,Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,ACopsva,480,1,1,60
5326,Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216,2,1,69.06
5327,Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,Prtates,2493,3,1,115
5328,Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,PantsAp,1290,2,1,120
5329,Plot  Area,Ready To Move,Banjara Layout,5 Bedroom,PantsAp,1200,5,2,96
5330,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Elodsre,1156,2,2,42
5331,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1230,2,2,44
5332,Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1070,2,2,33.15
5333,Plot  Area,Immediate Possession,Devanahalli,2 BHK,Emngs S,2100 - 5405,2,1,177.115
5334,Super built-up  Area,18-Aug,Ramagondanahalli,2 BHK,ViistLa,1235,2,1,49.3
5335,Built-up  Area,Ready To Move,6th block Koramangala,2 BHK,Krone S,1117,2,1,110
5336,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3,2,124
5337,Plot  Area,Ready To Move,Jalahalli,4 Bedroom,Dieldli,1200,4,0,90
5338,Super built-up  Area,Ready To Move,Venkatadri Layout,1 BHK,Raiyai ,600,1,1,43
5339,Super built-up  Area,Ready To Move,KR Puram,3 BHK,DSise S,1930,2,2,57.9
5340,Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216,2,1,75
5341,Built-up  Area,Ready To Move,KR Puram,3 BHK,ViionMa,1452,3,3,60
5342,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veale R,1355,2,3,78
5343,Built-up  Area,Ready To Move,HMT Layout,4 Bedroom,Veale R,7500,4,1,425
5344,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2145,3,3,190
5345,Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Varlsa ,957,2,1,53
5346,Built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,925,2,2,48
5347,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Grntsd ,1550,2,3,59
5348,Plot  Area,Ready To Move,Yelahanka New Town,4 Bedroom,Grntsd ,4000,2,1,899
